"Date","Price","Open","High","Low","Change %"
"10/01/2017","3.916","3.700","3.917","3.630","7.64%"
"09/01/2017","3.638","3.714","3.714","3.599","-1.01%"
"08/01/2017","3.675","3.640","3.736","3.602","1.27%"
"07/01/2017","3.629","3.580","3.643","3.553","1.43%"
"06/01/2017","3.578","3.677","3.725","3.488","-2.51%"
"05/01/2017","3.670","3.500","3.717","3.455","5.55%"
"04/01/2017","3.477","3.334","3.519","3.280","5.05%"
"03/01/2017","3.310","3.395","3.451","3.257","-1.43%"
"02/01/2017","3.358","3.400","3.500","3.342","-0.15%"
"01/01/2017","3.363","3.030","3.363","3.030","9.69%"
"12/01/2016","3.066","2.948","3.401","2.948","4.18%"
"11/01/2016","2.943","2.753","2.964","2.688","7.25%"
"10/01/2016","2.744","2.780","2.780","2.601","-0.90%"
"09/01/2016","2.769","2.825","2.834","2.715","-1.28%"
"08/01/2016","2.805","2.850","2.850","2.620","0.00%"
"07/01/2016","2.805","2.871","2.888","2.798","-2.43%"
"06/01/2016","2.875","2.997","3.040","2.825","-4.01%"
"05/01/2016","2.995","3.000","3.017","2.909","1.66%"
"04/01/2016","2.946","2.910","3.030","2.873","2.08%"
"03/01/2016","2.886","2.905","2.963","2.872","-0.79%"
"02/01/2016","2.909","2.920","2.950","2.830","0.00%"
"01/01/2016","2.909","2.850","2.940","2.754","1.64%"
"12/01/2015","2.862","3.088","3.100","2.828","-7.32%"
"11/01/2015","3.088","3.100","3.257","3.084","0.03%"
"10/01/2015","3.087","3.300","3.300","3.000","-5.77%"
"09/01/2015","3.276","3.407","3.407","3.272","-3.48%"
"08/01/2015","3.394","3.530","3.573","3.378","-2.30%"
"07/01/2015","3.474","3.638","3.653","3.443","-4.27%"
"06/01/2015","3.629","3.650","3.676","3.580","1.06%"
"05/01/2015","3.591","3.430","3.608","3.385","4.94%"
"04/01/2015","3.422","3.620","3.750","3.413","-5.55%"
"03/01/2015","3.623","3.400","3.650","3.340","7.22%"
"02/01/2015","3.379","3.530","3.540","3.335","-3.84%"
"01/01/2015","3.514","3.700","3.700","3.448","-3.67%"
"12/01/2014","3.648","3.550","3.850","3.533","2.88%"
"11/01/2014","3.546","3.800","3.800","3.483","-6.34%"
"10/01/2014","3.786","4.030","4.100","3.760","-6.01%"
"09/01/2014","4.028","4.300","4.380","4.024","-5.18%"
"08/01/2014","4.248","4.310","4.320","4.213","-1.16%"
"07/01/2014","4.298","4.070","4.350","4.040","5.86%"
"06/01/2014","4.060","4.050","4.130","3.990","-2.40%"
"05/01/2014","4.160","4.370","4.540","4.090","-3.93%"
"04/01/2014","4.330","4.540","4.600","4.280","-3.35%"
"03/01/2014","4.480","4.430","4.560","4.350","1.36%"
"02/01/2014","4.420","4.540","4.620","4.340","-2.86%"
"01/01/2014","4.550","4.630","4.710","4.450","-1.73%"
"12/01/2013","4.630","4.400","4.680","4.370","5.31%"
"11/01/2013","4.397","4.200","4.770","4.050","4.19%"
"10/01/2013","4.220","4.200","4.260","3.970","4.20%"
"09/01/2013","4.050","4.060","4.200","3.960","0.00%"
"08/01/2013","4.050","3.720","4.130","3.600","12.50%"
"07/01/2013","3.600","3.540","3.850","3.490","0.00%"
"06/01/2013","3.600","3.460","3.650","3.360","4.50%"
"05/01/2013","3.445","3.600","3.600","3.237","-1.57%"
"04/01/2013","3.500","3.550","3.640","3.251","1.63%"
"03/01/2013","3.444","3.650","3.670","3.284","-4.33%"
"02/01/2013","3.600","3.630","3.670","3.490","0.00%"
"01/01/2013","3.600","3.580","3.650","3.490","0.70%"
"12/01/2012","3.575","3.550","3.640","3.390","0.09%"
"11/01/2012","3.572","3.586","3.710","3.390","0.05%"
"10/01/2012","3.570","3.480","3.710","3.340","2.88%"
"09/01/2012","3.470","3.410","3.650","3.210","0.58%"
"08/01/2012","3.450","3.290","3.460","3.260","3.60%"
