"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2012","2,481.82","2,467.51","2,506.34","2,351.85","","0.58%"
"10/01/2012","2,467.51","2,514.32","2,567.68","2,451.70","","-1.85%"
"09/01/2012","2,513.93","2,450.54","2,571.34","2,433.29","","2.58%"
"08/01/2012","2,450.60","2,396.61","2,483.87","2,354.13","","2.25%"
"07/01/2012","2,396.62","2,364.09","2,418.09","2,301.93","","1.39%"
"06/01/2012","2,363.79","2,270.25","2,364.47","2,194.89","","4.13%"
"05/01/2012","2,270.01","2,415.41","2,445.48","2,236.73","","-6.02%"
"04/01/2012","2,415.37","2,430.68","2,454.63","2,344.16","","-0.63%"
"03/01/2012","2,430.67","2,353.23","2,448.16","2,309.51","","3.31%"
"02/01/2012","2,352.84","2,255.76","2,374.11","2,255.76","","4.31%"
"01/01/2012","2,255.66","2,158.93","2,291.58","2,158.93","","4.49%"
"12/01/2011","2,158.82","2,137.08","2,178.43","2,062.53","","1.03%"
"11/01/2011","2,136.77","2,137.88","2,184.08","1,984.18","","-0.23%"
"10/01/2011","2,141.80","1,930.43","2,208.88","1,834.21","","10.93%"
"09/01/2011","1,930.78","2,077.16","2,094.49","1,900.57","","-7.02%"
"08/01/2011","2,076.54","2,196.60","2,221.74","1,873.01","","-5.44%"
"07/01/2011","2,196.08","2,241.66","2,303.73","2,180.07","","-2.03%"
"06/01/2011","2,241.65","2,279.66","2,279.66","2,133.97","","-1.67%"
"05/01/2011","2,279.63","2,305.76","2,317.55","2,221.91","","-1.13%"
"04/01/2011","2,305.76","2,239.45","2,307.32","2,188.47","","2.96%"
"03/01/2011","2,239.44","2,239.12","2,249.17","2,108.41","","0.05%"
"02/01/2011","2,238.43","2,165.77","2,265.63","2,165.77","","3.42%"
"01/01/2011","2,164.40","2,115.97","2,192.14","2,115.97","","2.37%"
"12/01/2010","2,114.28","1,986.35","2,122.19","1,986.35","","6.69%"
"11/01/2010","1,981.73","1,983.55","2,055.75","1,966.82","","0.01%"
